feature,pearson_r,spearman_rho,n_nonnull
danceability,0.21895119788790543,0.22787691723131664,1550
instrumentalness,-0.21734904917690934,-0.19348813633389117,1550
position,0.029434138348682696,0.1729656627093292,589
loudness,0.13995282446814358,0.14450041045777287,1550
explicit_int,0.11488123418620509,0.13919543850769037,1550
valence,0.06985377553261203,0.09542729291565732,1550
audio_valence_raw,0.06227001547526869,0.08987759416004258,1550
arousal_z,0.09204558924207171,0.08567184999542862,1550
liveness,-0.061782329623716936,-0.0660123239661943,1550
catharsis_score,0.03341091905652631,0.040996168959558814,1550
energy,-0.020909679517173475,-0.036525645376116384,1550
tempo,-0.03588068737745939,-0.0361634857174649,1550
h_track,0.02370430706099174,0.03508512915091197,1550
duration_ms,-0.03708015078112213,-0.032991348030557,1550
happiness_from_lyrics,0.0020775510905840944,0.02480459671382921,1503
speechiness,-0.049859660122590375,-0.011769140614053947,1550
acousticness,-0.0673141176457018,0.0005631819110274299,1550
