track_genre,h_track_mean,h_track_std,h_track_count,a_audio_norm_mean,a_audio_norm_std,catharsis_score_mean
acoustic,0.4001,0.1862,6,0.4026,0.0854,0.2412
alt-rock,0.5326,0.0956,7,0.5168,0.0988,0.2416
alternative,0.3583,0.1557,9,0.4273,0.147,0.2751
ambient,0.4179,,1,0.2012,,0.1171
anime,0.2535,0.1675,6,0.4883,0.1088,0.3572
blues,0.5944,0.1657,4,0.5634,0.0949,0.2199
british,0.4493,0.1416,11,0.3944,0.1109,0.2164
cantopop,0.2164,0.1374,2,0.4905,0.0165,0.3832
chill,0.4277,0.1548,5,0.3282,0.0513,0.1886
club,0.4525,0.1341,5,0.4608,0.1511,0.2515
comedy,0.5414,0.1164,3,0.5088,0.0582,0.2371
country,0.5285,0.1282,56,0.4529,0.1282,0.2115
dance,0.5292,0.1235,86,0.5509,0.1013,0.2588
dancehall,0.4766,0.1854,14,0.4822,0.1176,0.2538
disco,0.661,0.1545,13,0.5388,0.1121,0.1756
dub,0.558,,1,0.615,,0.2718
edm,0.4956,0.1291,14,0.5574,0.0934,0.2807
electro,0.4684,0.1256,18,0.5275,0.082,0.2738
electronic,0.2273,,1,0.4939,,0.3817
emo,0.3896,0.108,7,0.6049,0.1038,0.3666
folk,0.5046,0.1494,8,0.3913,0.088,0.1921
french,0.4275,0.173,6,0.5648,0.1103,0.3144
funk,0.4602,0.0643,4,0.5181,0.1576,0.2782
garage,0.4715,,1,0.3285,,0.1736
german,0.5252,0.0634,2,0.4842,0.3079,0.2397
groove,0.4956,,1,0.6026,,0.304
grunge,0.4365,0.0641,3,0.5617,0.0668,0.3145
hard-rock,0.4533,0.1913,5,0.515,0.0482,0.2862
hardcore,0.4333,0.0427,2,0.4985,0.1724,0.2862
hip-hop,0.4032,0.1336,40,0.5295,0.1405,0.3138
house,0.5325,0.1462,4,0.5368,0.119,0.2493
indie,0.5788,0.0659,3,0.4455,0.1386,0.1846
indie-pop,0.5243,0.1207,14,0.4181,0.1405,0.1936
j-dance,0.4951,0.1457,3,0.6388,0.1515,0.3191
j-pop,0.3097,0.173,14,0.6047,0.0858,0.4197
jazz,0.5286,0.1636,5,0.2198,0.0927,0.0983
k-pop,0.5978,0.1337,44,0.5739,0.1396,0.2247
latin,0.5355,0.1342,10,0.6321,0.0835,0.2871
latino,0.6063,0.1304,4,0.5735,0.106,0.2209
mandopop,0.1437,0.0518,18,0.4126,0.1128,0.3518
metal,0.6067,,1,0.542,,0.2132
piano,0.459,0.1101,7,0.504,0.1616,0.2641
pop,0.4844,0.1642,54,0.457,0.1508,0.2302
pop-film,0.6338,0.1405,6,0.4375,0.1617,0.1416
power-pop,0.6552,0.065,2,0.5738,0.0219,0.1972
progressive-house,0.4825,,1,0.6618,,0.3424
psych-rock,0.7265,0.1052,2,0.3535,0.0091,0.0962
punk-rock,0.7342,0.1452,2,0.4515,0.0993,0.1272
r-n-b,0.5577,0.1913,5,0.4718,0.0746,0.1991
reggae,0.5549,0.039,3,0.6541,0.105,0.2899
rock,0.5097,0.1217,23,0.5171,0.1188,0.2483
rock-n-roll,0.6844,0.1349,6,0.4687,0.1714,0.1355
rockabilly,0.6523,0.191,3,0.4679,0.1642,0.1425
sad,0.7008,,1,0.5041,,0.1508
singer-songwriter,0.4991,0.0983,6,0.4338,0.1563,0.207
soul,0.455,0.1425,8,0.4528,0.1607,0.2439
spanish,0.5764,0.1806,2,0.5502,0.2638,0.2093
swedish,0.444,,1,0.2511,,0.1396
synth-pop,0.5862,,1,0.6279,,0.2598
techno,0.7602,,1,0.6751,,0.1619
turkish,0.428,0.2135,5,0.4968,0.1505,0.2608
